Для чего нужен Обход в глубину?:,"Определить, связанный ли граф, построить слоистую сеть, тополог. Сортировка и т.д.", Нахождение сильно связных комонентов, Построить слоистую сеть, Поиск минимального остова
Какой алгоритм используется для нахождения кратчайшего пути от источника до стока транспортной сети?:, "Алгоритм Дейкстры", Алгоритм Куна, Алгоритм Диница, Алгоритм A*
Какие входные данные в алгоритме Брона-Кербоша?:,"Неориентированный граф в виде списка смежности", Ориентированный граф в виде списка смежности, Список смежности, Орграф в виде списка смежности
Какие входные данные в алгоритме Флойда-Уоршалла?:, "Произвольный граф в виде матрицы смежности без циклов отрицательной длины", Двудольный граф в форме матрицы специального вида (строки - одна доля а столбцы - другая), Произвольный граф в виде списка смежности (визуально - сетка с препятствиями), Неориентированный взвешенный граф в виде кучи (heap) ребер
Какие выходные данные в алгоритме Демукрона?:, "Вершины в топологически корректном порядке", Список вершин лежащих на кратчайшем пути и длина кратчайшего пути, Список ребер вошедших в паросочетание и их суммарный вес, Список вершин отсортированный особым образом
Какие выходные данные в алгоритме Форда-Фалкерсона?:, "Максимальный поток (пропускная способность сети)", "Максимальный поток (пропускная способность сети)", Номера вершин в порядке обхода, Перечень вершин входящих в кратчайший путь и его длина
В каком алгоритме используется очередь?:, "Обход в ширину", Обход в глубину, Алгоритм Демукрона, Алгоритм Беллмана-Форда
Какой алгоритм перед поиском аугментальной цепи граф преобразовывается в 'слоистую сеть' с помощью поиска в ширину?:, "Алгоритм Диница", Алгоритм A*, Алгоритм Флойда-Уоршалла, Алгоритм Дейкстры
Какие утверждения являются верными?:, "топологическая сортировка может быть выполнена только для ациклического ориентированного графа", топологическая сортировка может быть выполнена для любого ориентированного графа, топологическая сортировка может быть выполнена для любого неориентированного графа, топологическая сортировка может быть выполнена только для циклического ориентированного графа
Какие входные данные в алгоритме Крускала?:, "Неориентированный взвешенный граф в виде кучи (heap) ребер", Неориентированный граф в виде списка смежности, Ориентированный взвешенный граф в виде кучи (heap) ребер, Орграф в виде списка смежности
За какое время работатет алгоритм Косарайю?:, "За O (n+m)", За O^2, За O(n), За O(n*m)
Можно ли оптимизировать алгоритм Куна и как?:, "Да. Брать не пустое паросочетание, а, например, набирать его жадно", Да, Нет, Нет. Брать пустое паросочетание
Верны ли утверждения? 1- алгоритм Беллмана-Форда допускает рёбра с отрицательным весом; 2- Алгоритм Беллмана-Форда находит в ориентированном графе кратчайшие пути от исходной вершины до всех остальных:, "да и да", нет и да, нет и нет , да и нет
Верно ли утверждение что алгоритм A* - это модификация алгоритма Дейкстры оптимизированная для единственной конечной точки?:, "да", нет, ., .
Сколько имеется абстрактных обыкновенных графов с набором степеней (3 3 3 3 4 4)?:, "3", 0, 1, 2
Является ли верным утверждение что связный граф может иметь только один остов?:, "нет", да, ., .
Какие из следующих утверждений справедливы для любого двусвязного графа? 1-через любые две вершины проходит простой цикл; 2-через любые два ребра проходит простой цикл; 3-через любые три вершины проходит простой цикл; 4-через любые три вершины среди которых имеется хотя бы одна пара смежных проходит простой цикл:, "1 2 4", 1 2, 2 4, 2 3
В двудольном графе одна доля состоит из пяти вершин степени 2 а другая из трех вершин две из которых имеют степень 3. Какова степень третьей вершины?:, "4", 3, 5, такого графа не существует
Дерево-это:, "связный граф без циклов", связный граф, граф без циклов, остовный подграф графа
Для чего нужен обход в ширину?:, "Поиск мостов, шарниров", Поиск минимального остова, Нахождение сильно связных компонент, определить связный ли граф и построить слоистую сеть тополог сортировка и т.д.
Какой алгоритм используется для нахождения кратчайшего пути между двумя заданными вершинами?:, "Алгоритм A*", Алгоритм Дейкстры, Алгоритм Куна, Алгоритм Флойда-Уоршалл
Какие входные данные в алгоритме Топологическая сортировка?:, "Орграф в виде списка смежности", Неориентированный граф в виде списка смежности, Орграф в виде матрицы смежности, Список смежности
Какие входные данные в алгоритме Дейкстры?:, "Транспортная сеть с весами в виде списка смежности без циклов отрицательной длины", Транспортная сеть с целочисленными пропускными способностями каждой дуги в виде списка смежности, Неориентированный граф в виде списка смежности, Неориентированный взвешенный граф в виде кучи (heap) ребер
Какие выходные данные в обходе в глубину?:, "Номера вершин в порядке обхода", Список ребер которые вошли в минимальный остов, Вершины в топологически корректном порядке, Список вершин отсортированный особым образом
В каких алгоритмах выходными данными является Максимальный поток (пропускная способность сети)? 1- Алгоритм Диница 2- Алгоритм Форда-Фалкерсона 3-Алгоритм Беллмана-Форда 4- Алгоритм Дейкстры 5- Топологическая сортировка:, "1 и 2", 3 и 4, 4 и 5, 2 и 5
Какой алгоритм работает только в ациклическом графе. Можно использовать для проверки графа на наличие цикла?:, "Алгоритм Демукрона", Алгоритм Форда-Фалкерсона, Алгоритм Крускала, Алгоритм Беллмана-Форда
Проверка достижения цели алгоритма производится на каждом его шаге. Нужно пользоваться эвристикой для минимального 'вычеркивания' строк и столбцов:, "Алгоритм Куна", Алгоритм Косарайю, Алгоритм Дейкстры, Топологическая сортировка
Найти вес минимального остова графа заданного списком ребер при помощи алгоритма Крускала: (1:2)-6; (1:3)-1; (1:4)-5; (2:3)-5; (2:5)-3; (3:4)-5; (3:5)-6; (3:6)-4; (4:6)-2; (5:6)-6.:, "15", 14, 16, 17
Что представляет собой 1 шаг алгоритма Косарайю?:, "Топологическая сортировка", Пузырьковая сортировка, Сортировка выбором, Сортировка деревом
Верны ли утверждения? 1- алгоритм нахождения кратчайшего пути Беллмана-Форда не основан на жадном алгоритме; 2- алгоритм Крускала не основан на жадном алгоритме:, "1-да; 1-нет", 1-да; 2-нет, 1-нет; 2-да, 1-нет; 2-нет
Верно ли утверждение что для поиска клик и независимых вершин используют две модификации алгоритма Брона-Кербоша?:, "да", нет, ., .
Сколько имеется абстрактных обыкновенных графов с 5 вершинами и 3 ребрами?:, "4", 5, 3, 6
Является ли верным утверждение что связный граф может иметь много остовов?:, "да", нет, ., .
В планарном графе семь вершин из которых три имеют степень 4 остальные степень 5. Сколько граней будет в плоском изображении этого графа?:, "такого графа не существует", 10, 11, 12
После удаления из дерева одной из концевых вершин вместе с инцидентным ей ребром  получается::, "дерево", оргграф, цепь, связь
Если существует такое разбиение множества вершин на две части что концы каждого ребра принадлежат разным частям то граф называется::, "двудольным", двойным, двухромтичным, симметричным
Какой алгоритм используется для нахождения сильно связных компонент?:, "Алгоритм Косарайю", Обход в ширину, Алгоритм Крускала, Алгоритм Дейкстры
Для чего используется Алгоритм Флойда-Уоршал?:, "Нахождение всех кратчайших путей в графе", Нахождение экстремального паросочетания в двудольном графе, Нахождение кратчайшего пути до всех узлов транспортной сети из источника, Нахождение максимального потока в транспортной сети
Какие входные данные в алгоритме Форда-Фалкерсона?:, "Транспортная сеть с целочисленными пропускными способностями каждой дуги в виде списка смежности", Произвольный граф в виде матрицы смежности без циклов отрицательной длины, Транспортная сеть с весами в виде списка смежности без циклов отрицательной длины, Орграф в виде списка смежности
Какие входные данные в алгоритме Алгоритм A*?:, "Произвольный граф в виде списка смежности (визуально - 'сетка' с препятствиями)", Произвольный граф в виде матрицы смежности без циклов отрицательной длины, Неориентированный взвешенный граф в виде кучи (heap) ребер, Двудольный граф в форме матрицы специального вида (строки - одна доля а столбцы - другая)
Какие выходные данные в обходе в ширину?:, "Номера вершин в порядке обхода", Список вершин отсортированный особым образом, Сильно связные компоненты в виде списков вершин, Вершины в топологически корректном порядке
В каких алгоритмах выходными данными является Список вершин лежащих на кратчайшем пути и длина кратчайшего пути? 1- Алгоритм Брона-Кербоша; 2- Алгоритм Дейкстры; 3- Топологическая сортировка; 4- Алгоритм Беллмана-Форда; 5- Алгоритм Крускала:, "2 и 4", 1 и 5, 3 и 5, 1 и 4
В каких алгоритмах особенностью является работает только в ациклическом графе. Можно использовать для проверки графа на наличие цикла? 1-Алгоритм Крускала; 2-Алгоритм Брона-Кербоша; 3-Топологическая сортировка; 4-Алгоритм Демукрона; 5-Алгоритм Косарайю:, "3 и 4", 1 и 5, 2 и 5, 1 и 3
Позволяет ли поиск в глубину построить остовное дерево?:, "да", нет, ., .
Как сортируются ребра графа вначале алгоритма Краскала?:, "По неубыванию", По убыванию, Не сортируются , По алфавиту
Время работы алгоритма Куна(обычно)?:, "За O(nm)", За O(N^2), За (n+m), За O(n)
В алгоритме Диница после каждой итерации алгоритма расстояние до стока…:, "строго увеличивается", остается неизменным, уменьшается, может уменьшаться и увеличиваться
Верны ли утверждения? 1-Наиболее известным методом поиска максимальной клики в графе является алгоритм Брона-Кербоша; 2-Задача клики сводится к задаче обнаружения наибольшей клики в любом графе G:, "да и да", да и нет, нет и да, нет и нет
Сколько имеется абстрактных обыкновенных графов с 4 вершинами и 3 ребрами?:, "3", 5, 4, 2
Является ли верным утверждение что несвязный граф может иметь только один остов?:, "нет", да, ., .
Какие утверждения являются верными после выполнения топологической сортировки? 1-если граф был ациклическим то будет построена его топологическая сортировка; 2-если граф был циклическим то у него не будет топологической сортировки; 3-если граф был ациклическим то у него не будет топологической сортировки; 4-если граф был циклическим то будет построена его топологическая сортировка.:, "1 и 2", 1 и 4, 2 и 3, 3 и 4
Если любые две вершины графа можно соединить простой цепью то граф называется:, "связным", несвязным, деревом, остовом
Для чего используется топологическая сортировка?:, "Нумерует вершины таким образом, чтобы дуга шла от вершины с меньшим номером к вершине с большим", Нахождение кратчайшего пути до всех узлов транспортной сети из источника, Нумерует вершины таким образом чтобы дуга шла от вершины с большим номером к вершине с меньшим, Поиск минимального остова
Для чего используется Алгоритм Куна:, "Нахождение экстремального паросочетания в двудольном графе", Нахождение максимального потока в транспортной сети, Нахождение кратчайшего пути до всех узлов транспортной сети из источника, нет правильного ответа
Какие входные данные в Алгоритме Косарайю?:, "Орграф в виде списка смежности", Орграф в виде матрицы смежности, Неориентированный граф в виде списка смежности, Список смежности
В каких алгоритмах входными данными является Транспортная сеть с весами в виде списка смежности без циклов отрицательной длины? 1- Алгоритм Форда Фалкерсона; 2- Алгоритм Диница; 3- Алгоритм Беллмана-Форда; 4- Алгоритм Дейкстры; 5- Алгоритм Брона-Кербоша:, "3 и 4", 3 и 5, 1 и 2, 2 и 4
Какие выходные данные в алгоритме Брона-Кербоша?:, "Набор списков вершин, составляющих клики", Список ребер вошедших в паросочетание и их суммарный вес, Матрица длин кратчайших путей и матрица содержащая 'следующие' вершины на кратчайших путях, Список вершин лежащих на кратчайшем пути и длина кратчайшего пути
Какие выходные данные в алгоритме A*?:, "Перечень вершин, входящих в кратчайший путь, и его длина", Список ребер вошедших в паросочетание и их суммарный вес, Сильно связные компоненты в виде списков вершин, Матрица длин кратчайших путей и матрица содержащая 'следующие' вершины на кратчайших путях
Затратный O(V3 ) 'эвристика' длины пути на каждом шаге алгоритма:, "Алгоритм Флойда-Уоршалла", Алгоритм Беллмана-Форда, Алгоритм A*, Алгоритм Брона-Кербоша
Для чего используется Алгоритм Диница?:, "Нахождене максимального потока в транспортной сети", Нахождене максимального потока в транспортной сети, Нахождене максимального потока в транспортной сети, нет правильного ответа
Позволяет ли поиск в ширину построить остовное дерево?:, "да", нет, ., .
Для решения каких задач используется поиск в глубину:, "все выше перечисленные варианты верны", для поиска односвязных компонентов, для поиска двусвязных компонентов, для топологической сортировки
Как по-другому называют алгоритм Крускала?:, "Жадный", Быстрый, Остовной, Кластерный
Чему должен быть равен поток времени в начальный момент времени алгоритма Форда-Фалкерсона?:, "Нулю", Среднему времени прохождения алгоритма, Времени затраченного на анализ пути, Времени затраченного на прохождение 1 шага
Алгоритм Демукрона применяется для … графа:, "бесконтурного ориентированного", ориентированного, неориентированного, бесконтурного
Сколько имеется связных абстрактных графов с 4 вершинами?:, "6", 8, 5, 7
Является ли верным утверждение что несвязный граф не имеет остова?:, "да", нет, ., .
Каким условиям должны удовлетворять подмножества рёбер графа из которых состоит остовное дерево? 1-из любой вершины графа можно попасть в любую другую вершину двигаясь по этим рёбрами; 2-подмножество рёбер графа не содержит циклов; 3-подмножества рёбер графа содержит циклы:, "1 и 2", 1 и 3, 2 и 3, 1 2 3
Для того чтобы конечный связный граф был деревом необходимо и достаточно чтобы число его ребер было:ребер , "На единицу меньше числа его вершин", Больше или равно числу его вершин, Равно числу его вершин, На единицу больше числа его вершин
Какой алгоритм используется для поиска минимального остова?:, "Алгоритм Крускала", Алгоритм Форда-Фалкерсон, Обход в ширину, Никакой из выше перечисленых
Для чего используется Алгоритм Форда-Фалкерсона?:, "Нахождение максимального потока в транспортной сети", Нумерует вершины таким образом чтобы дуга шла от вершины с меньшим номером к вершине с большим, Поиск минимального остова (связного подграфа содержащего все вершины), Поиск минимального остова (связного подграфа содержащего все вершины)
Какие входные данные в алгоритме Диница?:, "Транспортная сеть с целочисленными пропускными способностями каждой дуги в виде списка смежности", Произвольный граф в виде матрицы смежности без циклов отрицательной длины, Транспортная сеть с весами в виде списка смежности без циклов отрицательной длины, Список смежности
Какие входные данные в алгоритме Куна?:, "Двудольный граф в форме матрицы специального вида (строки - одна доля, столбцы - другая)", Неориентированный взвешенный граф в виде кучи (heap) ребер, Произвольный граф в виде матрицы смежности без циклов отрицательной длины, Произвольный граф в виде списка смежности (визуально - 'сетка' с препятствиями)
Какие выходные данные в алгоритме Косарайю?:, "Сильно связные компоненты в виде списков вершин", Вершины в топологически корректном порядке, Номера вершин в порядке обхода, Набор списков вершин, составляющих клики
Какие выходные данные в алгоритме Беллмана-Форда?:, "Список вершин, лежащих на кратчайшем пути, и длина кратчайшего пути", Набор списков вершин составляющих клики, Список вершин отсортированный особым образом, Перечень вершин входящих в кратчайший путь и его длина
Какой алгоритм работает только в ациклическом графе. Можно использовать для проверки графа на наличие цикла?:, "Топологическая сортировка", Алгоритм Крускала, Алгоритм Беллмана-Форда, Алгоритм Форда-Фалкерсона
Какой алгоритм после предварительного расчета потенциалов смежных вершин для дальнейшей итерации выбирается вершина с наименьшим потенциалом?:, "Алгоритм Дейкстры", Алгоритм Диница, Алгоритм Куна, Алгоритм Косарайю
Используется ли поиск в глубину для топологической сортировки?:, "да", нет, ., .
В процессе выполнения процедуры поиска в ширину вершины графа делятся на новые открытые и закрытые. Может ли в графе существовать ребро соединяющее 1-новую вершину с открытой? 2-открытую вершину с закрытой?:, "да и да", да и нет, нет и да, нет и нет
Для чего используется алгоритм Флойда-Уоршала?:, "Для нахождения кратчайших расстояний между всеми вершинами взвешенного графа", Для нахождения кратчайших расстояний между всеми вершинами ориентированного графа, Для нахождения кратчайших расстояний между всеми вершинами в графе с циклом, Для построения минимального остовного дерева взвешенного связного неориентированного графа
Для решения топологической сортировки используется:, "алгоритм Демукрона", алгоритм Куна, алгоритм А*, ни один из вышеперечисленных
Верны ли утверждения? 1-. Алгоритм Дейкстры может находить пути ко всем точкам; 2-алгоритм A* находит путь к одной точке.:, "1-да; 2-да", 1-да; 2- нет, 1-нет; 2-нет, 1-нет; 2-да
Сколько имеется абстрактных деревьев с 6 вершинами?:, "6", 4, 5, 7
Что такое остовное дерево?:, "ациклический связный подграф данного графа, в который входят все его вершины и является деревом", связный граф без циклов, связный граф имеющий цикл , циклический связный подграф данного графа в который входят все его вершины
Какие утверждения являются верными? 1-связный граф может иметь только один остов; 2-связный граф может иметь много остовов; 3-несвязный граф может иметь только один остов; 4-несвязный граф не имеет остова.:, "2 и 4", 1 и 4, 1 и 3, 2 и 3
Некоторое множество вершин графа такое что для любых двух вершин из этого множества существует путь из одной в другую и не существует пути из вершины этого множества в вершину не из этого множества называется:, "Компонентой связности", Цикломатическим числом, Кольцевой суммой, Степенью
Какой(-ие) алгоритм(-ы) используется(-ются) для нумерации вершин таким образом чтобы дуга шла от вершины с меньшим номером к вершине с большим?:, "Алгоритм Демукрона и Топологическая сортировка", Алгоритм Демукрона и Алгоритм Крускала, Алгоритм Демукрона, Алгоритм Крускала и Топологическая сортировка
Какие входные данные в обходе в ширину?:, "список смежности", Орграф в виде списка смежности, Ориентированный граф в виде списка смежности, Неориентированный граф в виде списка смежности
В каких алгоритмах входными данными является транспортная сеть с целочисленными пропускными способностями каждой дуги в виде списка смежности? 1- Алгоритм Форда Фалкерсона; 2- Алгоритм Диница; 3- Алгоритм Беллмана-Форда; 4- Алгоритм Дейкстры; 5- Алгоритм Брона-Кербоша:, "1 и 2", 1 и 5, 3 и 4, 2 и 4
Какие выходные данные в алгоритме Дейкстры?:, "Список вершин, лежащих на кратчайшем пути, и длина кратчайшего пути", Максимальный поток (пропускная способность сети), Вершины в топологически корректном порядке, Матрица длин кратчайших путей и матрица содержащая 'следующие' вершины на кратчайших путях
Какие выходные данные в алгоритме Куна?:, "Список ребер, вошедших в паросочетание, и их суммарный вес", Список ребер вошедших в минимальный остов, Список вершин лежащих на кратчайшем пути и длина кратчайшего пути, Набор списков вершин составляющих клики
В каком алгоритме Два обхода в глубину: один по исходному графу другой по инвертированном у. Нужно запоминать время 'входа' и 'выхода' из вершины?:, "Алгоритм Косарайю", Алгоритм Брона-Кербоша, Топологическая сортировка, Алгоритм Демукрона
У какого алгоритма нет особенностей?:, "Алгоритм Беллмана-Форда", Алгоритм Флойда-Уоршалла, Алгоритм Форда-Фалкерс, Алгоритм Брона-Кербоша
В каком алгоритме используется стек?:, "Обход в глубину", Алгоритм Крускала, Обход в ширину, Алгоритм Косарайю
В какой момент алгоритм Крускала завершает свою работу?:, "После того, как множество вершин нашего подграфа совпадет с множеством вершин исходного графа", После прохода всех вершин графа, После нахождения оптимального варианта для решения графа, После проверки с помощью встроенного алгоритма для нахождения MST
Что используется в алгоритме Флойда-Уоршала?:, "Матрица смежности", Симплексный метод, Матрица, Таблица
Верно ли утверждение что алгоритм Брона-Кербоша работает только в ориентированном графе?:, "нет", да, ., .
Модификация алгоритма Дейкстры оптимизированная для единственной конечной точки является:, "алгоритм А*", алгоритм Флойда-Уоршала, алгоритм Диница, алгоритм Куна
Корневое дерево имеет радиус 4 а у каждой его вершины не более двух сыновей. Какое наибольшее число вершин в таком дереве?:, "31", 16, 15, 8
Верны ли следующие утвержения? 1- если в графе каждый блок содержит ровно две вершины; то этот граф – дерево; 2- если каждый блок некоторого графа является двудольным графом то и весь граф двудольный?:, "1-нет; 2-да", 1-да; 2-да, 1-да; 2-нет, 1-нет; 2-нет
Если в бинарной матрице на пересечении i-ой строки и j-го столбца стоит 1 и вершины i.j соединены ребром и 0 в противном случае то такая матрица называется:, "матрицей смежности", матрицей зависимости, матрицей непрерывности, матрица степени
Графом называется…:, "пара двух конечных множеств: множество точек и множество линий, соединяющих некоторые пары точек", пара двух бесконечных множеств: множество точек и множество линий соединяющих некоторые пары точек, множество линий соединяющих некоторые пары точек, пара двух конечных множеств: множество точек и множество линий
Верны ли утверждения: 1-Матрица смежности неориентированного графа является симметрической; 2-Матрица смежности неориентированного графа меняется при транспонировании; 3-Матрица смежности неориентированного графа не меняется при транспонировании; 4-Матрица смежности неориентированного графа  не является симметрической?:, "1 и 3", 2 и 4, 1 и 2, 3 и 4
Для чего используется Алгоритм Брона-Кербоша?:, "поиск всех клик в графе", Нахождение максимального потока в транспортной сети, Нахождение сильно связных компонент, Поиск минимального остова
Какие входные данные в алгоритме Демукрона?:, "Орграф в виде матрицы смежности", Неориентированный граф в виде списка смежности, Неориентированный взвешенный граф в виде кучи (heap) ребер, Ориентированный граф в виде списка смежности
Какие входные данные в алгоритме Беллмана-Форда?:, "Транспортная сеть с весами в виде списка смежности без циклов отрицательной длины", Неориентированный граф в виде списка смежности, Произвольный граф в виде списка смежности (визуально - 'сетка' с препятствиями), Транспортная сеть с целочисленными пропускными способностями каждой дуги в виде списка смежности
Какие выходные данные в алгоритме Топологическая сортировка?:, "Список вершин, отсортированный особым образом", Вершины в топологически корректном порядке, Список ребер вошедших в минимальный остов, Список вершин лежащих на кратчайшем пути и длина кратчайшего пути
В каких алгоритмах выходными данными является Номера вершин в порядке обхода? 1-Алгоритм Косарайю; 2-Алгоритм Форда-Фалкерсона; 3-обход в глубину; 4-Алгоритм Диница; 5-обход в ширину.:, "3 и 5", 2 и 5, 3 и 4, 1 и 4
Какие выходные данные в алгоритме Диница?:, "Максимальный поток (пропускная способность сети)", Список ребер вошедших в минимальный остов, Список вершин лежащих на кратчайшем пути и длина кратчайшего пути, Матрица длин кратчайших путей и матрица содержащая 'следующие' вершины на кратчайших путях
Какой алгоритм 'Жадный' работает за O(Е)?:, "Алгоритм Крускала", Алгоритм Куна, Алгоритм Косарайю, Алгоритм Брона-Кербоша
Бывают ситуации когда аугментальная цепь содержит ребра ведущие в 'обратную сторону' - по ним не увеличивается поток а уменьшается:, "Алгоритм Форда-Фалкерсона", Алгоритм Демукрона, Алгоритм Куна, Алгоритм A*
Какое утверждение является верным?:, "алгоритм Дейкстры находит кратчайший путь между двумя данными вершинами в графе, если длины дуг неотрицательны", алгоритм Дейкстры находит кратчайший путь между всеми парами вершин в графе, алгоритм Дейкстры позволяет ответить на вопрос существует ли цепь <u;v>, алгоритм Дейкстры находит кратчайший путь между двумя данными вершинами в графе если длины дуг отрицательны
Сколько памяти требуется алгоритму Флойда-Уоршала для сохранения матриц?:, "O(n^3)", O(n^2), O(n)^2, O(n)^3
Кем был предложен алгоритм Косарайю?:, "Косарайю и Шаиром", Косарайю, Шаиром, Нет правильного ответа
Какой граф используется в алгоритме Куна?:, "Двудольный", Неоретированные, Орентированный, Взвешенный
Верно ли утверждение что в алгоритме А* порядок обхода вершин определяется эвристической функцией «расстояние + стоимость»?:, "да", нет, ., .
В графе 6 вершин и 8 ребер. Сколько единиц будет в матрице инцидентности дополнительного графа?:, "14", 7, 28, 21
Верны ли следующие утвержения? 1-если каждый блок некоторого графа является планарным графом то и весь граф планарный; 2-если в каждом блоке связного графа имеется эйлеров цикл то и во всем графе есть эйлеров цикл?:, "1-да; 2-да", 1-да; 2-нет, 1-нет; 2-да, 1-нет; 2-нет
О чего зависит сложность алгоритма Флойда-Уоршелла?:, "от количества вершин", от связности графа , от модуля весов ребер, нет верного ответа
Сколько имеется абстрактных двусвязных графов с 4 вершинами?:, "3", 2, 5, 4
Какой(-ие) алгоритм(-ы) используется(-ются) для нахождения максимального потока в транспортной сети?:, "Алгоритм Форда-Фалкерсо и Алгоритм Диница", Алгоритм Форда-Фалкерсо, Алгоритм Беллмана-Форда, Алгоритм Беллмана-Форда и Алгоритм Форда-Фалкерсо
Для чего используется Алгоритм Беллмана-Форда?:, "Нахождение кратчайшего пути до всех узлов транспортной сети из источника", Нахождение кратчайшего пути от источника до стока транспортной сети, Нахождение всех кратчайших путей в графе, Нахождение кратчайшего пути между двумя заданными вершинами
Какие входные данные в обходе в глубину?:, "список смежности", Орграф в виде списка смежности, Орграф в виде матрицы смежности, Неориентированный граф в виде списка смежности
В каких алгоритмах входными данными является орграф в виде списка смежности? 1-обход в ширину; 2-обход в глубину; 3-алгоритм Косарайю; 4-алгоритм Демукрона; 5-топологическая сортировка:, "3 и 5", 1 и 3, 2 и 5, 3 и 4
Какие выходные данные в алгоритме Крускала?:, "Список ребер, вошедших в минимальный остов", Перечень вершин входящих в кратчайший путь и его длина, Набор списков вершин составляющих клики, Максимальный поток (пропускная способность сети)
Какие выходные данные в алгоритме Флойда-Уоршалла?:, "Матрица длин кратчайших путей и матрица, содержащая 'следующие' вершины на кратчайших путях", Перечень вершин входящих в кратчайший путь и его длина,Список ребер вошедших в паросочетание и их суммарный вес, Список вершин отсортированный особым образом
Рекурсивный алгоритм с действиями 'в хвосте'. Использует три множества с которыми совершаются булевы операции:, "Алгоритм Брона-Кербоша", Алгоритм Форда-Фалкерсо, Алгоритм Дейкстры, Алгоритм Флойда-Уоршалл
Какой алгоритм Используется в играх для планирования перемещения npc использует эвристику для оценки расстояния до финиша (манхэттенское диагональное евклидово расстояние и т.п.)?:, "Алгоритм A*", Алгоритм Куна, Алгоритм Диница, ) Алгоритм Крускала
Позволяет ли алгоритм Дейкстры построить остовное дерево?:, "да", нет, ., .
В процессе выполнения процедуры поиска в ширину вершины графа делятся на новые открытые и закрытые. Может ли в графе существовать ребро соединяющее 1- две открытые вершины? 2-новую вершину с закрытой?:, "да и нет",  да и да, нет и да, нет и нет
С помощью каких алгоритмов работает алгоритм Куна?:, "Обход в глубину и в ширину", Топологическая сортировка, Обход в глубину, Пузырьковая сортировка
Для решения каких задач используется алгоритм Демукрона?:, "для топологической сортировки", для поиска односвязных компонентов, для поиска двусвязных компонентов, все вышеперечисленные варианты верны
Что происходит с диаметром графа при удалении ребра? :, "увеличивается или остается прежним", уменьшается или остается прежним, может увеличиться уменьшиться или остаться прежним, увеличивается
Если взять совокупность всех вершин графа. Будет ли она являться вершинным покрытием?:, "да, будет ", только для связных графов, только для несвязных графов, нет не будет
Сколько существует абстрактных связных графов с 5 вершинами имеющих ровно два блока?:, "5", 2, 3, 4